🛠️  Fichiers modifiés: 31
⚠️  Problèmes restants: 67
src_file,line,raw_target,target_file,fragment,suggested,reason
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c01\C01a_intro_config.md",16,"#quest-ce-quun-arduino","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c01\C01a_intro_config.md","quest-ce-quun-arduino","quest-ce-quun-arduino","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c01\C01b_intro_prog.md",10,"#cycle-de-vie-dun-programme-arduino","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c01\C01b_intro_prog.md","cycle-de-vie-dun-programme-arduino","cycle-de-vie-dun-programme-arduino","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c01\C01b_intro_prog.md",14,"#-comparaison-des-types-et-exemples-dutilisation","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c01\C01b_intro_prog.md","-comparaison-des-types-et-exemples-dutilisation","comparaison-des-types-et-exemples-dutilisation","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md",18,"#serialbegin","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md","serialbegin","serialbegin","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md",19,"#serialprint-et-serialprintln","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md","serialprint-et-serialprintln","serialprint-et-serialprintln","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md",22,"#port-série-mais-cest-quoi","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md","port-série-mais-cest-quoi","port-serie-mais-cest-quoi","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md",27,"#état-dun-périphérique","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md","état-dun-périphérique","etat-dun-peripherique","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md",28,"#état-de-lapplication","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md","état-de-lapplication","etat-de-lapplication","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md",29,"#état-de-lapplication-avec-fonctions","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md","état-de-lapplication-avec-fonctions","etat-de-lapplication-avec-fonctions","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md",31,"#questions-1","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md","questions-1","questions-1","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm_exo.md",16,"C02_fonctions_comm.md#état-de-lapplication","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c02\C02_fonctions_comm.md","état-de-lapplication","etat-de-lapplication","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c03\C03a_branchement_base.md",3,"#lélectricité-sur-les-appareils","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c03\C03a_branchement_base.md","lélectricité-sur-les-appareils","lelectricite-sur-les-appareils","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c03\C03a_branchement_base.md",8,"#lampérage","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c03\C03a_branchement_base.md","lampérage","lamperage","Ancre introuvable dans la page cible (titre ou id HTML)."
"D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c03\C03a_branchement_base.md",9,"#exemples","D:\OneDrive - Cégep de Shawinigan\_cours\_contenus\0SX - Développement de systèmes embarqués\0sx_notes_cours\docs\c03\C03a_branchement_base.md","exemples","exemples","Ancre introuvable dans la page cible (titre ou id HTML)."
